endTime,artistName,trackName,msPlayed
2/28/2019 19:13,James TW,When You Love Someone,5590
3/1/2019 15:54,James TW,When You Love Someone,214741
3/1/2019 15:58,Nathan Sykes,Over And Over Again,246893
3/1/2019 16:01,Ed Sheeran,Happier,156804
3/1/2019 17:20,Ed Sheeran,Happier,205343
3/1/2019 17:24,Calum Scott,You Are The Reason - Duet Version,190760
3/2/2019 4:14,James Arthur,At My Weakest,42724
3/2/2019 6:53,Noah Schnacky,Hello Beautiful,216992
3/2/2019 6:56,Brett Young,In Case You Didn't Know,226200
3/2/2019 7:00,Brett Eldredge,The Long Way,208720
3/2/2019 7:04,LANCO,Greatest Love Story,222573
3/2/2019 7:06,Brett Young,Mercy,21803
3/3/2019 20:43,Brett Young,Mercy,195305
3/3/2019 20:47,Thomas Rhett,Marry Me,205453
3/3/2019 20:51,Russell Dickerson,Yours,216960
3/3/2019 20:54,Dan + Shay,Tequila,195986
3/3/2019 20:58,Dan + Shay,From the Ground Up - Single Version,254293
3/3/2019 21:03,Thomas Rhett,Die A Happy Man,140998
3/3/2019 21:06,Imagine Dragons,Thunder,187146
3/3/2019 21:07,Hailee Steinfeld,"Back to Life - from ""Bumblebee""",29932
3/3/2019 21:07,Russell Dickerson,Yours,0
3/3/2019 21:11,Russell Dickerson,Yours,216960
3/3/2019 21:14,Thomas Rhett,Marry Me,185569
3/4/2019 14:49,Dan + Shay,From the Ground Up - Single Version,254293
3/4/2019 14:53,Brett Young,In Case You Didn't Know,226200
3/4/2019 14:56,Maren Morris,I Could Use a Love Song,196421
3/4/2019 14:58,Noah Schnacky,Hello Beautiful,103179
3/4/2019 15:55,Noah Schnacky,Hello Beautiful,215327
3/4/2019 16:01,Brett Eldredge,The Long Way,194863
3/4/2019 18:35,Brett Eldredge,The Long Way,14124
3/4/2019 18:39,Dan + Shay,Tequila,195986
3/4/2019 18:42,Brett Young,Mercy,217120
3/4/2019 18:43,Thomas Rhett,Die A Happy Man,52902
3/4/2019 23:22,Thomas Rhett,Die A Happy Man,174795
3/4/2019 23:27,LANCO,Greatest Love Story,222573
3/4/2019 23:31,Keith Urban,Female,195316
3/4/2019 23:50,Dan + Shay,Speechless,118228
3/5/2019 13:57,Matt Maher,Burning In My Soul,225546
3/5/2019 14:02,Maroon 5,Sad,194253
3/5/2019 14:08,Matt Maher,Your Grace Is Enough/Here I Am Lord (Live),333385
3/5/2019 15:13,Leona Lewis,Happy,241826
3/5/2019 15:17,David Crowder Band,How He Loves,193279
3/6/2019 4:52,Thomas Rhett,Marry Me,2389
3/6/2019 4:52,Dan + Shay,Speechless,2944
3/6/2019 4:56,Dan + Shay,From the Ground Up - Single Version,254293
3/6/2019 5:00,Thomas Rhett,Die A Happy Man,227426
3/6/2019 5:05,Brett Young,In Case You Didn't Know,226200
3/6/2019 5:09,Maren Morris,I Could Use a Love Song,24320
3/6/2019 5:09,Russell Dickerson,Yours,216960
3/6/2019 20:28,Brett Eldredge,The Long Way,208720
3/6/2019 20:31,Brett Young,Mercy,217120
3/6/2019 20:36,LANCO,Greatest Love Story,206119
3/7/2019 2:27,LANCO,Greatest Love Story,16466
3/7/2019 2:32,Brett Young,Like I Loved You,207186
3/7/2019 2:35,Matt Stell,Prayed for You,211546
3/7/2019 2:38,Old Dominion,Written in the Sand,180107
3/7/2019 6:03,Mélanie Laurent,Début,160066
3/7/2019 6:09,Max Richter,A Catalogue Of Afternoons,110880
3/7/2019 6:13,James Heather,Last Minute Change Of Heart,242946
3/7/2019 6:15,Peter Bradley Adams,Interlude for Piano,115546
3/7/2019 6:18,The Daydream Club,Improv #10 - One Last Thought,167000
3/7/2019 6:23,Poppy Ackroyd,Strata,273165
3/7/2019 6:41,Jean-Michel Blais,igloo - acoustique,111152
3/7/2019 15:06,SYML,Where's My Love - Piano Solo,0
3/7/2019 15:12,Chris Tomlin,How Great Is Our God - World Edition,365134
3/7/2019 15:16,Rend Collective,My Lighthouse,224173
3/7/2019 15:20,Chris Tomlin,Indescribable,238786
3/7/2019 18:30,Brett Young,In Case You Didn't Know,60649
3/8/2019 14:41,MercyMe,I Can Only Imagine,248253
3/8/2019 14:46,Chris Tomlin,Our God,285160
3/8/2019 14:49,Matt Maher,"Lord, I Need You",212386
3/8/2019 14:50,Tim Hughes,Here I Am To Worship,22254
3/8/2019 15:50,Brett Eldredge,The Long Way,208720
3/8/2019 15:55,Russell Dickerson,Yours,33741
3/9/2019 4:50,Ed Sheeran,Happier,207520
3/9/2019 4:53,Caleb and Kelsey,Always Remember Us This Way,189939
3/9/2019 4:56,Demi Lovato,Sober,197893
3/9/2019 5:00,Camila Cabello,In the Dark,219826
3/10/2019 6:08,Lady Gaga,I'll Never Love Again - Film Version - Radio Edit,281235
3/10/2019 6:12,Dreicon,Você Tem,7602
3/10/2019 6:12,Kesha,Praying,230266
3/11/2019 4:28,Ed Sheeran,Happier,207520
3/11/2019 4:32,James Arthur,Say You Won't Let Go,211240
3/11/2019 4:37,Lauv,The Story Never Ends,229029
3/11/2019 4:41,The Script,"Never Seen Anything ""Quite Like You"" - Acoustic",228146
3/11/2019 4:56,Calum Scott,You Are The Reason - Duet Version,94740
3/11/2019 13:45,Calum Scott,You Are The Reason - Duet Version,96260
3/11/2019 13:48,Niall Horan,Too Much To Ask,223043
